,대분류,중분류,소분류,종목 설명,종목 코드,투자 가능 대상 여부,산업 섹터,투자 지역,투자 스타일,level,부모
1,주식,국내주식,코스피,KODEX 200,69500,4,일반,한국,패시브,2,1
2,주식,국내주식,기타,KODEX 레버리지,122630,5,일반,한국,레버리지,3,1
3,주식,국내주식,코스피,KODEX 200TR,278530,4,일반,한국,패시브,3,1
4,주식,국내주식,코스닥,KODEX 코스닥150레버리지,233740,5,일반,한국,레버리지,3,1
5,주식,국내주식,기타,KODEX 삼성그룹,102780,4,일반,한국,패시브,3,1
6,주식,국내주식,코스닥,KODEX 코스닥150,229200,4,일반,한국,패시브,3,1
7,주식,국내주식,기타,TIGER 2차전지테마,305540,4,일반,한국,패시브,3,1
8,주식,국내주식,코스피,TIGER 200 IT,139260,4,IT/반도체,한국,패시브,3,1
9,주식,국내주식,기타,KODEX 자동차,91180,4,자동차,한국,패시브,3,1
10,주식,국내주식,기타,TIGER 2차전지소재Fn,462010,4,2차전지,한국,패시브,3,1
11,주식,국내주식,기타,KODEX 반도체,91160,4,IT/반도체,한국,패시브,3,1
12,주식,국내주식,기타,PLUS 고배당주,161510,5,고배당,한국,패시브,3,1
13,주식,국내주식,기타,SOL 조선TOP3플러스,466920,4,조선,한국,패시브,3,1
14,주식,국내주식,기타,KODEX 은행,91170,4,은행,한국,패시브,3,1
15,주식,국내주식,기타,PLUS K방산,449450,4,방산,한국,패시브,3,1
16,주식,국내주식,기타,TIGER 헬스케어,143860,5,헬스케어,한국,패시브,3,1
17,주식,국내주식,기타,RISE ESG사회책임투자,290130,4,ESG,한국,패시브,3,1
18,주식,국내주식,기타,RISE 수소경제테마,367770,4,수소,한국,패시브,3,1
19,주식,국내주식,기타,RISE 비메모리반도체액티브,388420,4,IT/반도체,한국,패시브,3,1
20,주식,국내주식,기타,KODEX 2차전지산업레버리지,462330,5,2차전지,한국,레버리지,3,1
21,주식,국내주식,기타,TIGER 은행고배당플러스TOP10,466940,4,고배당,한국,패시브,3,1
22,주식,국내주식,기타,TIGER 화장품,228790,5,화장품,한국,패시브,3,1
23,주식,국내주식,기타,HANARO MSCI Korea TR,332940,5,일반,한국,패시브,3,1
24,주식,국내주식,기타,KODEX AI전력핵심설비,487240,4,AI,한국,패시브,3,1
25,주식,국내주식,기타,TIGER BBIG,364960,4,일반,한국,패시브,3,1
26,주식,국내주식,기타,TIGER 미디어컨텐츠,228810,5,미디어,한국,패시브,3,1
27,주식,국내주식,코스피,TIGER 200 중공업,139230,4,중공업,한국,패시브,3,1
28,주식,국내주식,기타,KODEX 성장주,325010,4,성장주,한국,패시브,3,1
29,주식,국내주식,기타,TIGER 중국소비테마,150460,5,중국,한국,패시브,3,1
30,주식,국내주식,기타,TIGER 경기방어,139280,4,경기방어,한국,패시브,3,1
31,주식,국내주식,기타,HANARO e커머스,322400,5,e커머스,한국,패시브,3,1
32,주식,국내주식,기타,KODEX 미디어&엔터테인먼트,266360,4,미디어,한국,패시브,3,1
33,주식,국내주식,기타,RISE AI&로봇,469070,4,AI,한국,패시브,3,1
34,주식,국내주식,기타,KODEX K-신재생에너지액티브,385510,4,신재생,한국,패시브,3,1
35,주식,국내주식,기타,RISE 게임테마,300640,5,게임,한국,패시브,3,1
36,채권,한국채권,단기채권,KODEX CD금리액티브(합성),459580,1,일반,한국,패시브,2,36
37,채권,한국채권,단기채권,KODEX 종합채권(AA-이상)액티브,273130,1,기타,한국,패시브,3,36
38,채권,한국채권,단기채권,KODEX 머니마켓액티브,488770,1,일반,한국,패시브,3,36
39,채권,한국채권,단기채권,KODEX 단기채권PLUS,214980,1,기타,한국,패시브,3,36
40,채권,한국채권,회사채,RISE 종합채권(A-이상)액티브,385540,3,기타,한국,패시브,3,36
41,채권,한국채권,중장기채권,KODEX 국고채3년,114260,2,일반,한국,패시브,3,36
42,채권,한국채권,중장기채권,KOSEF 국고채10년,148070,2,일반,한국,패시브,3,36
43,채권,한국채권,중장기채권,KODEX 국고채30년액티브,439870,2,일반,한국,패시브,3,36
44,채권,한국채권,중장기채권,TIGER 중장기국채,302190,2,일반,한국,패시브,3,36
45,채권,한국채권,중장기채권,KODEX 국고채10년액티브,471230,2,일반,한국,패시브,3,36
46,채권,한국채권,회사채,TIGER 투자등급회사채액티브,438330,2,일반,한국,패시브,3,36
47,주식,기타,기타,KODEX 200선물인버스2X,252670,5,일반,한국,인버스,3,36
48,주식,기타,기타,KODEX 인버스,114800,4,일반,한국,인버스,3,48
49,부동산,기타,기타,TIGER 리츠부동산인프라,329200,4,부동산,한국,패시브,3,48
50,원자재,귀금속,기타,ACE KRX금현물,411060,5,금,한국,패시브,2,51
51,주식,기타,기타,KODEX 코스닥150선물인버스,251340,4,일반,한국,인버스,3,48
52,FX,외환,기타,KODEX 미국달러선물인버스2X,261260,5,주요 환율,미국,인버스,2,53
53,FX,기타,기타,TIGER 일본엔선물,292560,4,일반,일본,패시브,3,48
54,주식,기타,기타,TIGER 200선물인버스2X,252710,5,일반,한국,인버스,3,48
55,주식,기타,기타,RISE 국고채3년선물인버스,282000,4,일반,한국,인버스,3,48
56,FX,외환,기타,KODEX 미국달러선물인버스,261270,4,주요 환율,미국,인버스,3,53
57,주식,기타,기타,TIGER 인버스,123310,4,일반,한국,인버스,3,48
58,원자재,에너지,기타,KODEX WTI원유선물인버스(H),271050,5,에너지 투자,한국,인버스,2,59
59,FX,외환,기타,TIGER 미국달러선물인버스2X,261120,5,주요 환율,미국,인버스,3,53
60,주식,기타,기타,KODEX 미국나스닥100선물인버스(H),409810,4,일반,미국,인버스,3,48
